ARRAY_S0,ARRAY_S1,ARRAY_S2,ARRAY_S3,ARRAY_S4,ARRAY_S5,ARRAY_S6,ARRAY_S7,ARRAY_S8,ARRAY_S9,MOX_1,MOX_2,MOX_3,MOX_4,SHT_HUMID,SHT_TEMP,DATETIME,CLASS_NAME,SAMPLE_INDEX,
20298,23407,28181,18904,558254,1855887,429472,2139,9475,3881,295,351591,86422,1177,27250,27986,2024-02-12 17:54:48,4-hepanone,1900,
20259,23388,28129,18898,552571,1865491,428278,2131,9450,3875,290,315375,79750,1170,27391,27981,2024-02-12 17:55:03,4-hepanone,1900,
20245,23392,28130,18892,556267,1849628,426513,2124,9433,3863,287,293929,73086,1165,27336,27978,2024-02-12 17:55:18,4-hepanone,1900,
20218,23393,28098,18842,548785,1840866,425064,2119,9420,3857,285,277545,66650,1160,27315,27965,2024-02-12 17:55:33,4-hepanone,1900,
20195,23377,28098,18837,551494,1836771,425984,2115,9407,3852,285,268534,62157,1160,27277,27944,2024-02-12 17:55:47,4-hepanone,1900,
20182,23360,28118,18850,544571,1858499,424347,2109,9395,3847,282,262739,58545,1158,27172,27954,2024-02-12 17:56:02,4-hepanone,1900,
20164,23379,28085,18816,544322,1859872,425984,2104,9388,3840,279,257355,55220,1149,27199,27930,2024-02-12 17:56:17,4-hepanone,1900,
20160,23376,28089,18808,544992,1836549,423403,2101,9376,3839,275,248686,51591,1145,27161,27912,2024-02-12 17:56:32,4-hepanone,1900,
20137,23367,28034,18813,544411,1836110,422519,2099,9371,3835,275,240836,48166,1142,27170,27946,2024-02-12 17:56:47,4-hepanone,1900,
20125,23377,27999,18772,543909,1837590,422342,2094,9365,3834,272,232219,45022,1137,27199,27928,2024-02-12 17:57:02,4-hepanone,1900,
20111,23364,28021,18788,542804,1828113,420455,2089,9361,3830,270,225034,42318,1129,27155,27898,2024-02-12 17:57:16,4-hepanone,1900,
20123,23374,28005,18762,541777,1816466,421363,2088,9359,3832,266,217784,39560,1124,27166,27904,2024-02-12 17:57:31,4-hepanone,1900,
20125,23359,28007,18771,541236,1842597,421093,2081,9360,3829,264,211565,37379,1120,27027,27914,2024-02-12 17:57:46,4-hepanone,1900,
20111,23365,28010,18774,542191,1833226,420189,2078,9362,3830,261,205795,35332,1112,27081,27840,2024-02-12 17:58:01,4-hepanone,1900,
20117,23373,28014,18735,539516,1847319,423469,2077,9355,3828,259,200167,33480,1109,27117,27885,2024-02-12 17:58:16,4-hepanone,1900,
20120,23345,27953,18760,540606,1857596,423086,2072,9355,3828,258,195338,31825,1103,27098,27856,2024-02-12 17:58:31,4-hepanone,1900,
20121,23366,28006,18723,538226,1866731,419756,2066,9358,3828,250,185883,28721,1093,27069,27872,2024-02-12 17:59:00,4-hepanone,1900,
20114,23368,27973,18757,539699,1872046,419930,2065,9359,3824,249,181823,27373,1088,27134,27845,2024-02-12 17:59:15,4-hepanone,1900,
20124,23366,27971,18747,540029,1896004,421211,2059,9358,3827,246,177329,26054,1082,27107,27840,2024-02-12 17:59:30,4-hepanone,1900,
20127,23360,27974,18741,539915,1901117,421556,2056,9362,3828,244,173749,24869,1076,27048,27858,2024-02-12 17:59:45,4-hepanone,1900,
